Gouvernorat,Enquete,Recensement,Population,Region
Tunis,8.2,7.5,1056247,Grand Tunis
Ariana,5.8,5.1,576088,Grand Tunis
Ben Arous,9.4,8.7,631842,Grand Tunis
Manouba,12.3,11.6,379518,Grand Tunis
Nabeul,11.5,10.8,787920,Nord-Est
Zaghouan,15.2,14.3,176945,Nord-Est
Bizerte,13.8,12.9,568219,Nord-Est
Béja,20.5,19.2,303032,Nord-Ouest
Jendouba,25.6,24.1,401477,Nord-Ouest
Le Kef,23.8,22.5,243156,Nord-Ouest
Siliana,21.2,20.1,223087,Nord-Ouest
Kairouan,32.4,30.8,570559,Centre-Est
Kasserine,35.7,33.9,439243,Centre-Ouest
Sidi Bouzid,31.8,30.2,429912,Centre-Ouest
Sousse,9.8,9.1,674971,Centre-Est
Monastir,8.6,7.9,548828,Centre-Est
Mahdia,16.7,15.4,410812,Centre-Est
Sfax,12.4,11.6,955421,Centre-Est
Gafsa,28.9,27.3,337331,Sud-Ouest
Tozeur,19.3,18.1,107912,Sud-Ouest
Kébili,24.6,23.2,156961,Sud-Ouest
Gabès,18.4,17.2,374300,Sud-Est
Médenine,22.7,21.3,479520,Sud-Est
Tataouine,27.1,25.6,149453,Sud-Est
